id|state|city|zip|primary|something|county|area code
370|MI|Oscoda|48750|1|42|Iosco|989
371|MI|Owendale|48754|1|42|Huron|989
372|MI|Pigeon|48755|1|42|Huron|989
373|MI|Prescott|48756|1|42|Ogemaw|989
374|MI|Reese|48757|1|42|Tuscola|989
375|MI|Sebewaing|48759|1|42|Huron|989
376|MI|Silverwood|48760|1|42|Lapeer|989
377|MI|South Branch|48761|1|42|Ogemaw|989
378|MI|Spruce|48762|1|42|Alcona|989
379|MI|Tawas City|48763|1|42|Iosco|989
380|MI|Turner|48765|1|42|Arenac|517
381|MI|Twining|48766|1|42|Arenac|989
382|MI|Unionville|48767|1|42|Tuscola|989
383|MI|Vassar|48768|1|42|Tuscola|989
384|MI|Whittemore|48770|1|42|Iosco|989
385|MI|Alma|48801|1|42|Gratiot|989
386|MI|Ashley|48806|1|42|Gratiot|989
387|MI|Bannister|48807|1|42|Gratiot|989
388|MI|Bath|48808|1|42|Clinton|517
389|MI|Belding|48809|1|42|Ionia|616
390|MI|Carson City|48811|1|42|Montcalm|989
391|MI|Charlotte|48813|1|42|Eaton|517
392|MI|Clarksville|48815|1|42|Ionia|616
393|MI|Corunna|48817|1|42|Shiawassee|989
394|MI|Crystal|48818|1|42|Montcalm|989
395|MI|Dansville|48819|1|42|Ingham|517
396|MI|Dewitt|48820|1|42|Clinton|517
397|MI|Dimondale|48821|1|42|Eaton|517
398|MI|Eagle|48822|1|42|Clinton|517
399|MI|East Lansing|48823|1|42|Ingham|517
400|MI|East Lansing|48824|1|42|Ingham|517
401|MI|East Lansing|48825|1|42|Ingham|517
402|MI|Eaton Rapids|48827|1|42|Eaton|517
403|MI|Edmore|48829|1|42|Montcalm|989
404|MI|Elsie|48831|1|42|Clinton|989
405|MI|Elwell|48832|1|42|Gratiot|989
406|MI|Fenwick|48834|1|42|Montcalm|989
407|MI|Fowler|48835|1|42|Clinton|989
408|MI|Fowlerville|48836|1|42|Livingston|517
409|MI|Grand Ledge|48837|1|42|Eaton|517
410|MI|Greenville|48838|1|42|Montcalm|616
411|MI|Haslett|48840|1|42|Ingham|517
412|MI|Henderson|48841|1|42|Shiawassee|989
413|MI|Holt|48842|1|42|Ingham|517
414|MI|Howell|48843|1|42|Livingston|517
415|MI|Hubbardston|48845|1|42|Ionia|989
416|MI|Ionia|48846|1|42|Ionia|616
417|MI|Ithaca|48847|1|42|Gratiot|989
418|MI|Laingsburg|48848|1|42|Shiawassee|517
419|MI|Lake Odessa|48849|1|42|Ionia|616
420|MI|Lakeview|48850|1|42|Montcalm|989
421|MI|Lyons|48851|1|42|Ionia|989
422|MI|Mason|48854|1|42|Ingham|517
423|MI|Howell|48855|1|42|Livingston|517
424|MI|Middleton|48856|1|42|Gratiot|989
425|MI|Morrice|48857|1|42|Shiawassee|517
426|MI|Mount Pleasant|48858|1|42|Isabella|989
427|MI|Muir|48860|1|42|Ionia|989
428|MI|Mulliken|48861|1|42|Eaton|517
429|MI|Okemos|48864|1|42|Ingham|517
430|MI|Orleans|48865|1|42|Ionia|616
431|MI|Ovid|48866|1|42|Clinton|989
432|MI|Owosso|48867|1|42|Shiawassee|989
433|MI|Perrinton|48871|1|42|Gratiot|989
434|MI|Perry|48872|1|42|Shiawassee|517
435|MI|Pewamo|48873|1|42|Ionia|989
436|MI|Portland|48875|1|42|Ionia|517
437|MI|Potterville|48876|1|42|Eaton|517
438|MI|Riverdale|48877|1|42|Gratiot|989
439|MI|Rosebush|48878|1|42|Isabella|989
440|MI|Saint Johns|48879|1|42|Clinton|989
441|MI|Saint Louis|48880|1|42|Gratiot|989
442|MI|Saranac|48881|1|42|Ionia|616
443|MI|Shepherd|48883|1|42|Isabella|989
444|MI|Sheridan|48884|1|42|Montcalm|989
445|MI|Sidney|48885|1|42|Montcalm|989
446|MI|Six Lakes|48886|1|42|Montcalm|989
447|MI|Stanton|48888|1|42|Montcalm|989
448|MI|Sumner|48889|1|42|Gratiot|989
449|MI|Sunfield|48890|1|42|Eaton|517
450|MI|Vestaburg|48891|1|42|Montcalm|989
451|MI|Webberville|48892|1|42|Ingham|517
452|MI|Weidman|48893|1|42|Isabella|989
453|MI|Williamston|48895|1|42|Ingham|517
454|MI|Woodland|48897|1|42|Barry|269
455|MI|Lansing|48906|1|42|Ingham|517
456|MI|Lansing|48910|1|42|Ingham|517
457|MI|Lansing|48911|1|42|Ingham|517
458|MI|Lansing|48912|1|42|Ingham|517
459|MI|Lansing|48915|1|42|Ingham|517
460|MI|Lansing|48917|1|42|Eaton|517
461|MI|Lansing|48924|1|42|Ingham|517
462|MI|Lansing|48933|1|42|Ingham|517
463|MI|Kalamazoo|49001|1|42|Kalamazoo|269
464|MI|Portage|49002|1|42|Kalamazoo|269
465|MI|Kalamazoo|49004|1|42|Kalamazoo|269
466|MI|Kalamazoo|49006|1|42|Kalamazoo|269
467|MI|Kalamazoo|49007|1|42|Kalamazoo|269
468|MI|Kalamazoo|49008|1|42|Kalamazoo|269
469|MI|Kalamazoo|49009|1|42|Kalamazoo|269
470|MI|Allegan|49010|1|42|Allegan|269
471|MI|Athens|49011|1|42|Calhoun|269
472|MI|Augusta|49012|1|42|Kalamazoo|269
473|MI|Bangor|49013|1|42|Van Buren|269
474|MI|Battle Creek|49014|1|42|Calhoun|269
475|MI|Battle Creek|49015|1|42|Calhoun|269
476|MI|Battle Creek|49017|1|42|Calhoun|269
477|MI|Bellevue|49021|1|42|Eaton|269
478|MI|Benton Harbor|49022|1|42|Berrien|269
479|MI|Portage|49024|1|42|Kalamazoo|269
480|MI|Bloomingdale|49026|1|42|Van Buren|269
481|MI|Bronson|49028|1|42|Branch|517
482|MI|Burlington|49029|1|42|Calhoun|517
483|MI|Burr Oak|49030|1|42|Saint Joseph|269
484|MI|Cassopolis|49031|1|42|Cass|269
485|MI|Centreville|49032|1|42|Saint Joseph|269
486|MI|Ceresco|49033|1|42|Calhoun|269
487|MI|Climax|49034|1|42|Kalamazoo|269
488|MI|Coldwater|49036|1|42|Branch|517
489|MI|Coloma|49038|1|42|Berrien|269
490|MI|Colon|49040|1|42|Saint Joseph|269
491|MI|Constantine|49042|1|42|Saint Joseph|269
492|MI|Covert|49043|1|42|Van Buren|269
493|MI|Decatur|49045|1|42|Van Buren|269
494|MI|Delton|49046|1|42|Barry|269
495|MI|Dowagiac|49047|1|42|Cass|269
496|MI|Kalamazoo|49048|1|42|Kalamazoo|269
497|MI|Dowling|49050|1|42|Barry|269
498|MI|East Leroy|49051|1|42|Calhoun|269
499|MI|Fulton|49052|1|42|Kalamazoo|269
500|MI|Galesburg|49053|1|42|Kalamazoo|269
501|MI|Gobles|49055|1|42|Van Buren|269
502|MI|Grand Junction|49056|1|42|Van Buren|269
503|MI|Hartford|49057|1|42|Van Buren|269
504|MI|Hastings|49058|1|42|Barry|269
505|MI|Hickory Corners|49060|1|42|Barry|269
506|MI|Jones|49061|1|42|Cass|269
507|MI|Lawrence|49064|1|42|Van Buren|269
508|MI|Lawton|49065|1|42|Van Buren|269
509|MI|Leonidas|49066|1|42|Saint Joseph|616
510|MI|Marcellus|49067|1|42|Cass|269
511|MI|Marshall|49068|1|42|Calhoun|269
512|MI|Martin|49070|1|42|Allegan|269
513|MI|Mattawan|49071|1|42|Van Buren|269
514|MI|Mendon|49072|1|42|Saint Joseph|269
515|MI|Nashville|49073|1|42|Barry|517
516|MI|Olivet|49076|1|42|Eaton|269
517|MI|Otsego|49078|1|42|Allegan|269
518|MI|Paw Paw|49079|1|42|Van Buren|269
519|MI|Plainwell|49080|1|42|Allegan|269
520|MI|Quincy|49082|1|42|Branch|517
521|MI|Richland|49083|1|42|Kalamazoo|269
522|MI|Saint Joseph|49085|1|42|Berrien|269
523|MI|Schoolcraft|49087|1|42|Kalamazoo|269
524|MI|Scotts|49088|1|42|Kalamazoo|269
525|MI|Sherwood|49089|1|42|Branch|517
526|MI|South Haven|49090|1|42|Van Buren|269
527|MI|Sturgis|49091|1|42|Saint Joseph|269
528|MI|Tekonsha|49092|1|42|Calhoun|517
529|MI|Three Rivers|49093|1|42|Saint Joseph|269
530|MI|Union City|49094|1|42|Branch|517
531|MI|Vandalia|49095|1|42|Cass|269
532|MI|Vermontville|49096|1|42|Eaton|517
533|MI|Vicksburg|49097|1|42|Kalamazoo|269
534|MI|Watervliet|49098|1|42|Berrien|269
535|MI|White Pigeon|49099|1|42|Saint Joseph|269
536|MI|Baroda|49101|1|42|Berrien|269
537|MI|Berrien Center|49102|1|42|Berrien|269
538|MI|Berrien Springs|49103|1|42|Berrien|269
539|MI|Bridgman|49106|1|42|Berrien|269
540|MI|Buchanan|49107|1|42|Berrien|269
